date,product_id,category,sales
2024-03-14,29-017-6255,Fruits & Vegetables,1
2024-03-20,29-017-6255,Fruits & Vegetables,1
2024-03-22,29-017-6255,Fruits & Vegetables,1
2024-03-24,29-017-6255,Fruits & Vegetables,1
2024-03-27,29-017-6255,Fruits & Vegetables,1
2024-03-28,29-017-6255,Fruits & Vegetables,1
2024-03-29,29-017-6255,Fruits & Vegetables,1
2024-03-30,29-017-6255,Fruits & Vegetables,1
2024-03-31,29-017-6255,Fruits & Vegetables,1
2024-04-09,29-017-6255,Fruits & Vegetables,1
2024-04-10,29-017-6255,Fruits & Vegetables,1
2024-04-18,29-017-6255,Fruits & Vegetables,1
2024-04-20,29-017-6255,Fruits & Vegetables,1
2024-04-21,29-017-6255,Fruits & Vegetables,1
2024-04-26,29-017-6255,Fruits & Vegetables,1
2024-04-29,29-017-6255,Fruits & Vegetables,1
2024-04-30,29-017-6255,Fruits & Vegetables,1
2024-05-02,29-017-6255,Fruits & Vegetables,1
2024-05-10,29-017-6255,Fruits & Vegetables,2
2024-05-26,29-017-6255,Fruits & Vegetables,1
2024-05-29,29-017-6255,Fruits & Vegetables,1
2024-06-06,29-017-6255,Fruits & Vegetables,1
2024-06-10,29-017-6255,Fruits & Vegetables,1
2024-06-12,29-017-6255,Fruits & Vegetables,1
2024-06-19,29-017-6255,Fruits & Vegetables,1
2024-06-22,29-017-6255,Fruits & Vegetables,1
2024-06-23,29-017-6255,Fruits & Vegetables,1
2024-06-24,29-017-6255,Fruits & Vegetables,2
2024-06-29,29-017-6255,Fruits & Vegetables,1
2024-07-04,29-017-6255,Fruits & Vegetables,1
2024-07-07,29-017-6255,Fruits & Vegetables,1
2024-07-14,29-017-6255,Fruits & Vegetables,2
2024-07-15,29-017-6255,Fruits & Vegetables,2
2024-07-17,29-017-6255,Fruits & Vegetables,1
2024-07-18,29-017-6255,Fruits & Vegetables,1
2024-07-19,29-017-6255,Fruits & Vegetables,2
2024-07-23,29-017-6255,Fruits & Vegetables,1
2024-07-24,29-017-6255,Fruits & Vegetables,1
2024-07-25,29-017-6255,Fruits & Vegetables,1
2024-07-27,29-017-6255,Fruits & Vegetables,1
2024-08-03,29-017-6255,Fruits & Vegetables,1
2024-08-04,29-017-6255,Fruits & Vegetables,1
2024-08-08,29-017-6255,Fruits & Vegetables,1
2024-08-12,29-017-6255,Fruits & Vegetables,1
2024-08-18,29-017-6255,Fruits & Vegetables,2
2024-08-21,29-017-6255,Fruits & Vegetables,1
